Search query: human microbiome
Year,Count
2023,233
2022,20142
2021,21655
2020,18891
2019,15194
2018,11756
2017,9486
2016,7935
2015,6456
2014,5049
2013,3539
2012,2436
2011,1697
2010,1115
2009,790
2008,602
2007,450
2006,334
2005,258
2004,166
2003,136
2002,120
2001,74
2000,83
1999,58
1998,59
1997,53
1996,35
1995,31
1994,17
1993,18
1992,26
1991,24
1990,25
1989,25
1988,28
1987,14
1986,11
1985,20
1984,10
1983,11
1982,8
1981,9
1980,10
1979,13
1978,11
1977,7
1976,10
1975,4
1974,2
1972,1
1971,3
1970,3
1969,3
1968,2
1967,4
1966,3
1965,2
1964,2
1963,3
1961,2
1958,1
1956,1
